Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:48.088,False,(0.16;21.18;-83.61),(-28.33;-42.29;67.60),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.097,False,(0.16;21.17;-83.60),(-26.21;-42.08;68.08),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.110,False,(0.16;21.17;-83.59),(-24.16;-41.79;68.34),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.121,False,(0.16;21.16;-83.59),(-21.83;-41.37;68.44),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.132,False,(0.15;21.15;-83.58),(-19.67;-40.96;68.76),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.144,False,(0.15;21.14;-83.57),(-17.22;-40.54;68.87),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.156,False,(0.15;21.13;-83.56),(-14.79;-40.19;69.17),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.167,False,(0.15;21.11;-83.56),(-12.42;-39.87;69.73),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.177,False,(0.15;21.10;-83.55),(-10.24;-39.54;70.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.191,False,(0.15;21.09;-83.54),(-8.19;-39.19;70.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.199,False,(0.15;21.07;-83.54),(-6.29;-39.06;70.37),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.211,False,(0.15;21.06;-83.53),(-4.65;-39.11;70.67),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.222,False,(0.14;21.05;-83.53),(-3.27;-39.72;71.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.233,False,(0.14;21.03;-83.53),(-1.93;-40.59;71.69),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.245,False,(0.14;21.02;-83.53),(-0.35;-41.63;72.24),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.256,False,(0.14;21.01;-83.53),(1.08;-42.31;72.66),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.265,False,(0.14;21.00;-83.53),(2.49;-42.96;72.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.278,False,(0.13;20.99;-83.53),(3.26;-42.92;72.27),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.290,False,(0.13;20.98;-83.53),(3.96;-42.52;71.49),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.300,False,(0.13;20.97;-83.53),(4.77;-41.97;70.42),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.311,False,(0.13;20.96;-83.52),(5.65;-41.70;69.82),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.322,False,(0.13;20.95;-83.52),(6.15;-41.49;69.84),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.334,False,(0.13;20.95;-83.52),(6.43;-41.56;70.41),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.345,True,(0.13;20.94;-83.53),(6.69;-41.67;70.56),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.356,True,(0.12;20.94;-83.53),(6.99;-41.84;70.55),(0.00;20.62;-83.13),(-0.20;89.84;0.23),0.80,0.00,0.20,60.16,0.30,60.16
1,2023-06-01 18:46:48.367,True,(0.12;20.93;-83.53),(7.96;-41.92;70.00),(-0.01;20.61;-83.13),(-0.43;89.82;1.31),0.80,0.01,0.20,60.17,1.38,60.18
1,2023-06-01 18:46:48.378,True,(0.12;20.92;-83.53),(9.07;-42.32;68.93),(-0.01;20.60;-83.13),(-0.38;89.57;2.85),0.79,0.02,0.20,60.45,2.87,60.43
1,2023-06-01 18:46:48.390,True,(0.11;20.92;-83.53),(9.91;-42.85;68.27),(-0.02;20.59;-83.13),(-0.46;89.14;3.90),0.79,0.02,0.20,60.90,3.93,60.86
1,2023-06-01 18:46:48.400,True,(0.11;20.91;-83.53),(10.42;-43.59;67.27),(-0.02;20.59;-83.14),(-0.07;88.57;4.95),0.78,0.03,0.19,61.54,4.95,61.43
1,2023-06-01 18:46:48.411,True,(0.10;20.91;-83.54),(10.26;-44.17;66.18),(-0.03;20.59;-83.14),(0.83;88.19;5.54),0.78,0.03,0.19,62.03,5.60,61.81
1,2023-06-01 18:46:48.422,True,(0.09;20.91;-83.54),(9.50;-44.73;64.84),(-0.04;20.59;-83.14),(2.32;87.87;5.88),0.77,0.04,0.19,62.53,6.32,62.15
1,2023-06-01 18:46:48.433,True,(0.08;20.91;-83.54),(8.27;-45.30;63.39),(-0.05;20.59;-83.15),(4.21;87.53;5.94),0.76,0.04,0.18,63.06,7.28,62.55
1,2023-06-01 18:46:48.444,True,(0.08;20.91;-83.54),(6.76;-45.90;61.71),(-0.06;20.59;-83.15),(6.45;87.15;5.98),0.75,0.03,0.18,63.68,8.79,63.04
1,2023-06-01 18:46:48.456,True,(0.07;20.92;-83.55),(5.07;-46.35;59.81),(-0.08;20.60;-83.16),(8.98;86.90;6.04),0.74,0.03,0.17,64.19,10.81,63.45
1,2023-06-01 18:46:48.467,True,(0.06;20.92;-83.55),(3.77;-46.66;57.94),(-0.09;20.60;-83.16),(11.24;86.80;6.38),0.72,0.03,0.17,64.61,12.90,63.75
1,2023-06-01 18:46:48.478,True,(0.05;20.92;-83.55),(2.61;-46.80;55.52),(-0.10;20.61;-83.17),(13.78;86.98;7.22),0.71,0.02,0.16,64.95,15.53,63.86
